what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456401052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456402074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456402453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456410773
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1334456410783
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1334456429103
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334456437193
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1334456437638
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1334456498227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456505372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456518631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456518716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456518718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456521336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456521418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456521421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456527330
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334456528886
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1334456531212
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334456534024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456537388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456828636
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1334456830813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334456834637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456836433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456852875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456862106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456863184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456865058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456881675
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334456883614
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334456887989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334456908753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334456910661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334456914979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456917086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456917716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456920809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456953655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456955617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456964163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456975431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456977242
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1334456980223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456990001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456990718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456991089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456991781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456994936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334456995733
