what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453665159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1334453668804
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334453674092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453675298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453677685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453678960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453701439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453715464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453722126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1334453727786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334453736225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453739525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453740699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453743223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453750773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334453768287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334453773979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1334453777597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334453777938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453779048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453779833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453780203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453783279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453803460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453815929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453860693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453861546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453864862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453976306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453977846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453978862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334453979983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334454006715
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334454009899
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334454013876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334454016353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334454020810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334454022616
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1334454023118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334454026181
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334454026744
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334454027202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334454029918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334454030772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334454055061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334454056063
